dem_attribute,dem_value,type,value1,value2,source
race,black,hobbies,going to church,go to church,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,black,hobbies,hip-hop dancing,hip-hop dance,"Alridge, D. P., & Stewart, J. B. (2005). Introduction: Hip hop in history: Past, present, and future. The Journal of African American History, 90(3), 190-195."
race,black,hobbies,listening to gospel,listen to gospel,"Williams-Jones, P. (1975). Afro-American gospel music: A crystallization of the black aesthetic. Ethnomusicology, 373-385."
race,black,hobbies,listening to hip-hop,listen to hip-hop,"Alridge, D. P., & Stewart, J. B. (2005). Introduction: Hip hop in history: Past, present, and future. The Journal of African American History, 90(3), 190-195."
race,black,hobbies,listening to R&B,listen to R&B,"Alridge, D. P., & Stewart, J. B. (2005). Introduction: Hip hop in history: Past, present, and future. The Journal of African American History, 90(3), 190-195."
race,black,hobbies,listening to rap,listen to rap,"Nartey, H., & James, C. E. (2022). “Breaking the mould”: Resisting the stereotypes of being a Black Canadian student-athlete. McGill Journal of Education, 57(2), 31–53. https://doi.org/10.7202/1106307ar"
race,black,hobbies,playing basketball,play basketball,"GAO, YONG1; ZHU, WEIMO2. Identifying Group-Sensitive Physical Activities: A Differential Item Functioning Analysis of NHANES Data. Medicine & Science in Sports & Exercise 43(5):p 922-929, May 2011. | DOI: 10.1249/MSS.0b013e3181fdcc25 "
race,black,hobbies,playing softball,play softball,"Dwyer, J. F. (1994). Customer diversity and the future demand for outdoor recreation (Vol. 252). US Department of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station."
race,black,hobbies,step-dancing,step-dance,"Fine, E. C. (1991). Stepping, saluting, cracking, and freaking: The cultural politics of African-American step shows. TDR (1988-), 35(2), 39-59."
race,black,hobbies,vehicle camping,vehicle camp,"Dwyer, J. F. (1994). Customer diversity and the future demand for outdoor recreation (Vol. 252). US Department of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station."
race,black,hobbies,watching tv,watch tv,"Tirodkar, M. A., & Jain, A. (2003). Food messages on African American television shows. American Journal of Public Health, 93(3), 439-441."
race,hispanic,behavior,a criminal,a criminal,https://journals.sagepub.com/doi/abs/10.1177/1043986207306870?journalCode=ccja ; https://www.researchgate.net/publication/251503622_The_typification_of_Hispanics_as_criminals_and_support_for_punitive_crime_policies
race,hispanic,behavior,an illegal immigrant,an illegal,https://en.wikipedia.org/wiki/Stereotypes_of_Hispanic_and_Latino_Americans_in_the_United_States#%22Illegal_alien%22/_%22job_stealer%22
race,hispanic,behavior,unable to work hard,a slow working,https://en.wikipedia.org/wiki/Stereotypes_of_Hispanic_and_Latino_Americans_in_the_United_States#%22Illegal_alien%22/_%22job_stealer%22
race,hispanic,food,beef,,"Kinsey, J. D. (1994). Food and families' socioeconomic status. The Journal of nutrition, 124, 1878S-1885S."
race,hispanic,food,burritos,,"Cluskey, M., Edlefsen, M., Olson, B., Reicks, M., Auld, G., Bock, M. A., ... & Zaghloul, S. (2008). At-home and away-from-home eating patterns influencing preadolescents’ intake of calcium-rich food as perceived by Asian, Hispanic and non-Hispanic white parents. Journal of Nutrition Education and Behavior, 40(2), 72-79."
race,hispanic,food,chorizo,,"Cluskey, M., Edlefsen, M., Olson, B., Reicks, M., Auld, G., Bock, M. A., ... & Zaghloul, S. (2008). At-home and away-from-home eating patterns influencing preadolescents’ intake of calcium-rich food as perceived by Asian, Hispanic and non-Hispanic white parents. Journal of Nutrition Education and Behavior, 40(2), 72-79."
race,hispanic,food,tacos,,"Cluskey, M., Edlefsen, M., Olson, B., Reicks, M., Auld, G., Bock, M. A., ... & Zaghloul, S. (2008). At-home and away-from-home eating patterns influencing preadolescents’ intake of calcium-rich food as perceived by Asian, Hispanic and non-Hispanic white parents. Journal of Nutrition Education and Behavior, 40(2), 72-79."
race,hispanic,food,tortillas,,"Cluskey, M., Edlefsen, M., Olson, B., Reicks, M., Auld, G., Bock, M. A., ... & Zaghloul, S. (2008). At-home and away-from-home eating patterns influencing preadolescents’ intake of calcium-rich food as perceived by Asian, Hispanic and non-Hispanic white parents. Journal of Nutrition Education and Behavior, 40(2), 72-79."
race,hispanic,hobbies,dancing bachata,dance bachata,"Hernandez, D. P. (2014). Urban Bachata and Dominican Racial Identity in New York. Cahiers d’études africaines, (216), 1027-1054."
race,hispanic,hobbies,listening to banda music,listen to banda music,"Simonett, H. (2001). Banda: Mexican musical life across borders. Wesleyan University Press."
race,hispanic,hobbies,embroidering,embroider,"Erickson, K. C. (2015). Las colcheras: spanish colonial embroidery and the inscription of heritage in contemporary Northern New Mexico. Journal of Folklore Research: An International Journal of Folklore and Ethnomusicology, 52(1), 1-37."
race,hispanic,hobbies,dancing flamenco,dance flamenco,"Espino-Bravo Ph D, C., & English, D. N. (2023). Teaching Hispanic Culture, Diversity, and Tolerance through Hispanic Dances and Music: Two Approaches for Flamenco & Caribbean Dances. Flamenco Research Journal “La Madrugá”(University of Murcia, Spain), 20(1), 43."
race,hispanic,hobbies,listening to mariachi music,listen to mariachi music,"Clark, S. (2005). Mariachi music as a symbol of Mexican culture in the United States. International Journal of Music Education, 23(3), 227-237."
race,hispanic,hobbies,dancing merengue,dance merengue,"Hernandez, D. P. (2017). Race, ethnicity and the production of Latin/o popular music. In Global repertoires (pp. 57-72). Routledge."
race,hispanic,hobbies,listening to ranchera music,listen to ranchera music,"Cravey, A. J. (2003). Toque una ranchera, por favor. Antipode, 35(3), 603-621."
race,hispanic,hobbies,dancing to reggaeton music,dance to reggaeton music,"Cepeda, M. E. (2009). Media and the Musical Imagination: Comparative Discourses of Belonging in “Nuestro Himno” and “Reggaeton Latino”. Identities: Global Studies in Culture and Power, 16(5), 548-572."
race,hispanic,hobbies,dancing salsa,dance salsa,"Aparicio, F. R. (1998). Listening to salsa: Gender, Latin popular music, and Puerto Rican cultures. Wesleyan University Press."
race,hispanic,hobbies,playing soccer,play soccer,"GAO, YONG1; ZHU, WEIMO2. Identifying Group-Sensitive Physical Activities: A Differential Item Functioning Analysis of NHANES Data. Medicine & Science in Sports & Exercise 43(5):p 922-929, May 2011. | DOI: 10.1249/MSS.0b013e3181fdcc25 "
race,hispanic,hobbies,watching telenovelas,watch telenovelas,"Barrera, V., & Bielby, D. D. (2001). Places, faces, and other familiar things: The cultural experience of telenovela viewing among Latinos in the United States. The Journal of Popular Culture, 34(4), 1-18."
race,white,food,broccoli,,"Judy Perkin DPH, R. D., & Crandall, L. A. (1988). Ethnicity and Food Stamp program participation: effect upon dietary intakes of low-income mothers served by a north Florida family practice center. Journal of the American Dietetic Association, 88(9), 1081-1086."
race,white,food,cereal,,"Gilmore, J. S., & Jordan, A. (2012). Burgers and basketball: Race and stereotypes in food and beverage advertising aimed at children in the US. Journal of Children and Media, 6(3), 317–332. https://doi.org/10.1080/17482798.2012.673498"
race,white,food,chips,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,white,food,coffee cakes,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,white,food,cookies,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,white,food,pizza,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,white,food,potatoes,,"Judy Perkin DPH, R. D., & Crandall, L. A. (1988). Ethnicity and Food Stamp program participation: effect upon dietary intakes of low-income mothers served by a north Florida family practice center. Journal of the American Dietetic Association, 88(9), 1081-1086."
race,white,food,salad,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,white,food,spaghetti,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,white,food,steak,,"Lv, N., & Brown, J. L. (2010). Chinese American family food systems: impact of Western influences. Journal of nutrition Education and Behavior, 42(2), 106-114."
race,white,food,whole wheat bread,,"Judy Perkin DPH, R. D., & Crandall, L. A. (1988). Ethnicity and Food Stamp program participation: effect upon dietary intakes of low-income mothers served by a north Florida family practice center. Journal of the American Dietetic Association, 88(9), 1081-1086."
race,white,hobbies,canoeing,canoe,"Dwyer, J. F. (1994). Customer diversity and the future demand for outdoor recreation (Vol. 252). US Department of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station."
race,white,hobbies,gardening,garden,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,going bird watching,go bird watching,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,camping,camp,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,going drinking,go drinking,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,going for walks,go for walks,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,going hiking,go hiking,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,going swimming,go swimming,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,going to galleries,go to galleries,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,going to museums,go to museums,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,hiking,hike,"GAO, YONG1; ZHU, WEIMO2. Identifying Group-Sensitive Physical Activities: A Differential Item Functioning Analysis of NHANES Data. Medicine & Science in Sports & Exercise 43(5):p 922-929, May 2011. | DOI: 10.1249/MSS.0b013e3181fdcc25 "
race,white,hobbies,ice skating,ice skate,"Dwyer, J. F. (1994). Customer diversity and the future demand for outdoor recreation (Vol. 252). US Department of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station."
race,white,hobbies,listening to progressive rock,listen to progressive rock,"Stewart, I., Flores, R. D., Riffe, T., Weber, I., & Zagheni, E. (2019, May). Rock, rap, or reggaeton?: assessing mexican immigrants' cultural assimilation using facebook data. In The world wide web conference (pp. 3258-3264)."
race,white,hobbies,observing nature,observe nature,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,photographing nature,photograph nature,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,playing golf,play golf,"GAO, YONG1; ZHU, WEIMO2. Identifying Group-Sensitive Physical Activities: A Differential Item Functioning Analysis of NHANES Data. Medicine & Science in Sports & Exercise 43(5):p 922-929, May 2011. | DOI: 10.1249/MSS.0b013e3181fdcc25 "
race,white,hobbies,skiing,ski,"Dwyer, J. F. (1994). Customer diversity and the future demand for outdoor recreation (Vol. 252). US Department of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station."
race,white,hobbies,traveling,travel,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,visiting forest preserves,visit forest preserves,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
race,white,hobbies,visiting state parks,visit state parks,"Floyd, M. F., & Shinew, K. J. (1999). Convergence and divergence in leisure style among Whites and African Americans: Toward an interracial contact hypothesis. Journal of Leisure Research, 31(4), 359-384."
socio-economic status,high,drinks,fruit juice,,"Darmon, N., & Drewnowski, A. (2008). Does social class predict diet quality?. The American journal of clinical nutrition, 87(5), 1107-1117."
socio-economic status,high,drinks,low-fat milk,,"Roos, E., Lahelma, E., Virtanen, M., Prättälä, R., & Pietinen, P. (1998). Gender, socioeconomic status and family status as determinants of food behaviour. Social science & medicine, 46(12), 1519-1529."
socio-economic status,high,drinks,wine,,"Darmon, N., & Drewnowski, A. (2008). Does social class predict diet quality?. The American journal of clinical nutrition, 87(5), 1107-1117."
socio-economic status,high,food,arugula,,"Baumann, S., Szabo, M., & Johnston, J. (2019). Understanding the food preferences of people of low socioeconomic status. Journal of Consumer Culture, 19(3), 316-339."
socio-economic status,high,food,beef steak,,"Hough, G., & Sosa, M. (2015). Food choice in low income populations–A review. Food quality and preference, 40, 334-342."
socio-economic status,high,food,capsicum,,"Inglis, V., Ball, K., & Crawford, D. (2005). Why do women of low socioeconomic status have poorer dietary behaviours than women of higher socioeconomic status? A qualitative exploration. Appetite, 45(3), 334-343."
socio-economic status,high,food,dim sum,,"Baumann, S., Szabo, M., & Johnston, J. (2019). Understanding the food preferences of people of low socioeconomic status. Journal of Consumer Culture, 19(3), 316-339."
socio-economic status,high,food,eggplant,,"Inglis, V., Ball, K., & Crawford, D. (2005). Why do women of low socioeconomic status have poorer dietary behaviours than women of higher socioeconomic status? A qualitative exploration. Appetite, 45(3), 334-343."
socio-economic status,high,food,fish,,"Hough, G., & Sosa, M. (2015). Food choice in low income populations–A review. Food quality and preference, 40, 334-342."
socio-economic status,high,food,salad,,"Baumann, S., Szabo, M., & Johnston, J. (2019). Understanding the food preferences of people of low socioeconomic status. Journal of Consumer Culture, 19(3), 316-339."
socio-economic status,high,food,sushi,,"Baumann, S., Szabo, M., & Johnston, J. (2019). Understanding the food preferences of people of low socioeconomic status. Journal of Consumer Culture, 19(3), 316-339."
socio-economic status,high,food,vegetables,,"Roos, E., Lahelma, E., Virtanen, M., Prättälä, R., & Pietinen, P. (1998). Gender, socioeconomic status and family status as determinants of food behaviour. Social science & medicine, 46(12), 1519-1529."
socio-economic status,high,food,whole wheat bread,,"Darmon, N., & Drewnowski, A. (2008). Does social class predict diet quality?. The American journal of clinical nutrition, 87(5), 1107-1117."
socio-economic status,high,food,zucchini,,"Inglis, V., Ball, K., & Crawford, D. (2005). Why do women of low socioeconomic status have poorer dietary behaviours than women of higher socioeconomic status? A qualitative exploration. Appetite, 45(3), 334-343."
socio-economic status,high,hobbies,fishing,fish,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,high,hobbies,going to casinos,go to casinos,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,high,hobbies,going to concerts,go to concerts,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,high,hobbies,going to nightclubs,go to nightclubs,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,high,hobbies,going to plays,go to plays,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,high,hobbies,playing golf,play golf,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,high,hobbies,playing musical instruments,play musical instruments,"Coleman, H. A. (1940). The relationship of socio-economic status to the performance of junior high school students. The Journal of Experimental Education, 9(1), 61-63."
socio-economic status,high,hobbies,reading,read,"Coleman, H. A. (1940). The relationship of socio-economic status to the performance of junior high school students. The Journal of Experimental Education, 9(1), 61-63."
socio-economic status,high,hobbies,scouting,scout,"Coleman, H. A. (1940). The relationship of socio-economic status to the performance of junior high school students. The Journal of Experimental Education, 9(1), 61-63."
socio-economic status,high,hobbies,skiing,ski,"Hungenberg, E., Gould, J., & Daly, S. (2013). An examination of social psychological factors predicting skiers’ skill, participation frequency, and spending behaviors. Journal of Sport & Tourism, 18(4), 313-336."
socio-economic status,high,hobbies,playing soccer,play soccer,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,high,hobbies,swimming,swim,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,high,hobbies,playing tennis,play tennis,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,high,hobbies,doing track and field,do track and field,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,high,hobbies,traveling,travel,"Coleman, H. A. (1940). The relationship of socio-economic status to the performance of junior high school students. The Journal of Experimental Education, 9(1), 61-63."
socio-economic status,low,behavior,a bad parent,,https://www.washingtonpost.com/news/answer-sheet/wp/2013/10/28/five-stereotypes-about-poor-families-and-education/
socio-economic status,low,behavior,dumb,a dumb,https://journals.sagepub.com/doi/10.1177/1948550613504968
socio-economic status,low,behavior,incompetent,an incompetent,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6020691/
socio-economic status,low,behavior,lazy,a lazy,https://www.justharvest.org/wp-content/uploads/2015/07/Just-Harvest-Poverty-Myths-Stereotypes-fact-sheet.pdf
socio-economic status,low,behavior,addicted to drugs,a drug-addicted,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6020691/
socio-economic status,low,drinks,beer,,"Darmon, N., & Drewnowski, A. (2008). Does social class predict diet quality?. The American journal of clinical nutrition, 87(5), 1107-1117."
socio-economic status,low,food,organ meat,,"Darmon, N., & Drewnowski, A. (2008). Does social class predict diet quality?. The American journal of clinical nutrition, 87(5), 1107-1117."
socio-economic status,low,food,pasta,,"Darmon, N., & Drewnowski, A. (2008). Does social class predict diet quality?. The American journal of clinical nutrition, 87(5), 1107-1117."
socio-economic status,low,food,peas,,"Inglis, V., Ball, K., & Crawford, D. (2005). Why do women of low socioeconomic status have poorer dietary behaviours than women of higher socioeconomic status? A qualitative exploration. Appetite, 45(3), 334-343."
socio-economic status,low,food,pot roast,,"Hough, G., & Sosa, M. (2015). Food choice in low income populations–A review. Food quality and preference, 40, 334-342."
socio-economic status,low,food,potatoes,,"Roos, E., Lahelma, E., Virtanen, M., Prättälä, R., & Pietinen, P. (1998). Gender, socioeconomic status and family status as determinants of food behaviour. Social science & medicine, 46(12), 1519-1529."
socio-economic status,low,food,pumpkins,,"Inglis, V., Ball, K., & Crawford, D. (2005). Why do women of low socioeconomic status have poorer dietary behaviours than women of higher socioeconomic status? A qualitative exploration. Appetite, 45(3), 334-343."
socio-economic status,low,food,quesadillas,,"Baumann, S., Szabo, M., & Johnston, J. (2019). Understanding the food preferences of people of low socioeconomic status. Journal of Consumer Culture, 19(3), 316-339."
socio-economic status,low,food,rice,,"Darmon, N., & Drewnowski, A. (2008). Does social class predict diet quality?. The American journal of clinical nutrition, 87(5), 1107-1117."
socio-economic status,low,food,sausages,,"Darmon, N., & Drewnowski, A. (2008). Does social class predict diet quality?. The American journal of clinical nutrition, 87(5), 1107-1117."
socio-economic status,low,food,stew,,"Darmon, N., & Drewnowski, A. (2008). Does social class predict diet quality?. The American journal of clinical nutrition, 87(5), 1107-1117."
socio-economic status,low,food,white bread,,"Darmon, N., & Drewnowski, A. (2008). Does social class predict diet quality?. The American journal of clinical nutrition, 87(5), 1107-1117."
socio-economic status,low,hobbies,blog writing,write a blog,"Vuletić, T., & Krnjaić, Z. (2019). Adolescents' Hobbies and Their Well-Being. In Proceedings of the 25th Scientific Conference: Empirical Studies in Psychology (pp. 88-90). Belgrade: Institute of Psychology, Faculty of Philosophy, University of Belgrade."
socio-economic status,low,hobbies,collecting,collect,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
socio-economic status,low,hobbies,creative writing,write creatively,"Vuletić, T., & Krnjaić, Z. (2019). Adolescents' Hobbies and Their Well-Being. In Proceedings of the 25th Scientific Conference: Empirical Studies in Psychology (pp. 88-90). Belgrade: Institute of Psychology, Faculty of Philosophy, University of Belgrade."
socio-economic status,low,hobbies,doing diy,do diy,"Vyas, D. (2020, October). Life improvements: DIY in low socio-economic status communities. In Companion Publication of the 2020 Conference on Computer Supported Cooperative Work and Social Computing (pp. 407-412)."
socio-economic status,low,hobbies,drawing,draw,"Vuletić, T., & Krnjaić, Z. (2019). Adolescents' Hobbies and Their Well-Being. In Proceedings of the 25th Scientific Conference: Empirical Studies in Psychology (pp. 88-90). Belgrade: Institute of Psychology, Faculty of Philosophy, University of Belgrade."
socio-economic status,low,hobbies,jewelry making,make jewelry,"Vuletić, T., & Krnjaić, Z. (2019). Adolescents' Hobbies and Their Well-Being. In Proceedings of the 25th Scientific Conference: Empirical Studies in Psychology (pp. 88-90). Belgrade: Institute of Psychology, Faculty of Philosophy, University of Belgrade."
socio-economic status,low,hobbies,listening to rap music,listen to rap music,"Tanner, J., Asbridge, M., & Wortley, S. (2009). Listening to rap: Cultures of crime, cultures of resistance. Social Forces, 88(2), 693-722."
socio-economic status,low,hobbies,playing baseball,play baseball,"Jayanthi, N. A., Holt Jr, D. B., LaBella, C. R., & Dugas, L. R. (2018). Socioeconomic factors for sports specialization and injury in youth athletes. Sports health, 10(4), 303-310."
socio-economic status,low,hobbies,playing basketball,play basketball,"Jayanthi, N. A., Holt Jr, D. B., LaBella, C. R., & Dugas, L. R. (2018). Socioeconomic factors for sports specialization and injury in youth athletes. Sports health, 10(4), 303-310."
socio-economic status,low,hobbies,playing football,play football,"Jayanthi, N. A., Holt Jr, D. B., LaBella, C. R., & Dugas, L. R. (2018). Socioeconomic factors for sports specialization and injury in youth athletes. Sports health, 10(4), 303-310."
socio-economic status,low,hobbies,thrift shopping,thrift shop,"James, S., Brown, R. B., Goodsell, T. L., Stovall, J., & Flaherty, J. (2010). Adapting to hard times: Family participation patterns in local thrift economies. Family Relations, 59(4), 383-395."
socio-economic status,low,hobbies,visiting a swap meet,visit a swap meet,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
